ORD_TOTALAMOUNTINC,Number_of_cus,Month,Paper_con_value
1040176,3633,0,103.0
1229733,3918,1,103.0
1278798,4556,2,105.0
1621104,5271,3,106.0
1762098,5415,4,107.0
1200543,4154,5,108.0
1318737,4678,6,108.0
1224674,4128,7,109.0
1240227,4584,8,110.0
1047364,3925,9,111.0
1406896,4264,10,110.0
1507255,4399,11,111.0
1501026,4021,12,109.0
1448401,4044,13,110.0
1820571,4813,14,111.0
2060797,5269,15,110.0
1729365,4735,16,112.0
1432349,3930,17,114.0
1928740,4781,18,114.0
1696423,4554,19,112.0
1775656,4730,20,112.0
1757882,4720,21,112.0
1632750,4410,22,111.0
1560788,4333,23,111.0
1411889,3942,24,109.0
