actors0,actors1,actors2,year,id,type,genres2,genres3,directors1,genres4,genres5,genres6,genres7,genres8,genres9,directors2
Joseph Gordon-Levitt,Scarlett Johansson,Julianne Moore,2013,tt2229499,add,,,,,,,,,,
Daniel Brühl,Chris Hemsworth,Olivia Wilde,2013,tt1979320,add,Drama,Sport,,,,,,,,
Hugh Jackman,Jake Gyllenhaal,Viola Davis,2013,tt1392214,add,Thriller,,,,,,,,,
Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,2013,tt1951264,add,Sci-Fi,Thriller,,,,,,,,
Chris Hemsworth,Natalie Portman,Tom Hiddleston,2013,tt1981115,add,Fantasy,,,,,,,,,
James Franco,Jonah Hill,Seth Rogen,2013,tt1245492,add,,,Seth Rogen,,,,,,,
Patrick Wilson,Rose Byrne,Barbara Hershey,2013,tt2226417,add,,,,,,,,,,
Brad Pitt,Mireille Enos,Daniella Kertesz,2013,tt0816711,add,Horror,Sci-Fi,,Thriller,,,,,,
Jennifer Lawrence,Hugh Jackman,Michael Fassbender,2014,tt1877832,add,Fantasy,Sci-Fi,,,,,,,,
Mark Wahlberg,Nicola Peltz,Jack Reynor,2014,tt2109248,add,Sci-Fi,,,,,,,,,
Jesse Eisenberg,Common,Mark Ruffalo,2013,tt1670345,add,Thriller,,,,,,,,,
Sandra Bullock,George Clooney,Ed Harris,2013,tt1454468,add,Thriller,,,,,,,,,
Jason Sudeikis,Jennifer Aniston,Emma Roberts,2013,tt1723121,add,,,,,,,,,,
Vin Diesel,Karl Urban,Katee Sackhoff,2013,tt1411250,add,Thriller,,,,,,,,,
Robert De Niro,Michelle Pfeiffer,Dianna Agron,2013,tt2404311,add,Crime,,,,,,,,,
Chris Pine,Zachary Quinto,Zoe Saldana,2013,tt1408101,add,Sci-Fi,,,,,,,,,
Jaden Smith,David Denman,Will Smith,2013,tt1815862,add,Sci-Fi,,,,,,,,,
Leonardo DiCaprio,Carey Mulligan,Joel Edgerton,2013,tt1343092,add,,,,,,,,,,
Léa Seydoux,Adèle Exarchopoulos,Salim Kechiouche,2013,tt2278871,add,,,,,,,,,,
Shailene Woodley,Kate Winslet,Zoë Kravitz,2014,tt1840309,add,Romance,Sci-Fi,,,,,,,,
Bill Sage,Ambyr Childers,Julia Garner,2013,tt2309021,add,Thriller,,,,,,,,,
Robert Downey Jr.,Guy Pearce,Gwyneth Paltrow,2013,tt1300854,add,Sci-Fi,,,,,,,,,
Andrew Garfield,Emma Stone,Jamie Foxx,2014,tt1872181,add,Fantasy,,,,,,,,,
Chantal Quesnelle,Fiona Dourif,Danielle Bisutti,2013,tt2230358,add,,,,,,,,,,
